,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10
OTU_111,6,0,0,4,9,0,36,0,0,0,9,0,0,0,0,44,36,10,0,7
OTU_112,0,0,6,1,0,0,3,2,0,10,0,0,8,101,0,0,11,0,0,17
OTU_113,9,0,21,9,0,0,1,0,30,0,0,0,28,14,0,0,12,0,34,0
OTU_114,1,13,2,53,13,1,10,52,4,9,0,0,0,0,0,0,0,0,0,0
OTU_115,0,0,0,9,0,33,0,0,0,2,21,0,16,3,9,46,9,0,9,0
OTU_116,0,19,0,0,1,11,2,4,4,2,5,0,11,8,29,25,17,3,4,9
OTU_117,0,0,0,0,0,0,0,0,0,0,9,10,21,13,1,17,27,9,45,2
OTU_118,7,25,0,4,5,0,3,0,0,10,27,0,9,7,16,6,0,12,3,18
OTU_119,0,0,0,0,0,0,0,0,0,0,11,0,41,20,12,4,18,18,0,24
OTU_120,0,6,7,0,0,0,0,0,0,1,10,0,10,10,0,26,44,8,17,8
OTU_121,0,0,0,0,0,0,0,0,0,0,13,0,22,43,11,12,11,8,7,18
OTU_122,0,0,0,0,0,0,0,0,0,0,32,0,8,12,9,22,22,10,24,5
OTU_123,0,0,8,0,0,3,14,0,1,5,0,0,16,10,37,42,0,0,7,0
OTU_124,1,4,2,2,0,3,10,0,0,6,10,0,40,25,0,19,0,11,0,6
OTU_125,0,0,0,0,0,0,0,0,0,0,11,14,35,4,15,2,0,15,10,30
OTU_126,0,7,10,0,7,0,0,1,0,2,10,0,9,26,11,23,7,5,10,8
OTU_127,16,15,21,12,7,5,4,16,22,17,0,0,0,0,0,0,0,0,0,0
OTU_128,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,58,0,18,28,5
OTU_129,2,4,0,0,0,4,3,18,3,0,16,0,5,9,8,29,0,0,29,0
OTU_130,0,0,0,0,0,0,0,0,0,0,13,1,37,0,8,30,25,8,4,2
OTU_131,0,3,0,16,13,18,7,15,5,12,8,0,0,0,3,8,7,0,7,2
OTU_132,0,0,0,0,0,0,0,0,0,0,8,0,7,8,12,43,11,13,18,3
OTU_133,0,0,0,25,0,0,0,0,0,18,5,0,27,0,4,13,6,0,25,0
OTU_134,0,0,0,0,0,0,0,0,0,0,8,0,19,40,17,5,12,1,2,17
OTU_135,1,0,0,0,0,0,0,0,9,5,7,11,0,3,7,17,31,16,6,7
OTU_136,6,0,3,8,3,6,13,0,0,2,10,0,0,26,20,23,0,0,0,0
OTU_137,0,0,0,0,0,0,0,0,0,0,23,4,12,11,5,33,2,11,7,11
OTU_138,6,1,0,11,0,0,0,0,0,0,24,5,0,17,8,19,0,0,0,28
OTU_139,0,0,0,0,0,0,0,0,0,0,20,0,0,33,7,21,0,33,0,0
OTU_140,0,0,0,0,0,0,0,0,0,0,2,20,24,0,18,17,14,0,10,8
OTU_141,2,0,0,0,0,19,0,0,0,0,0,0,0,0,0,91,1,0,0,0
OTU_142,1,14,0,0,0,2,0,1,0,0,17,0,0,11,7,8,15,3,10,23
OTU_143,0,0,0,0,0,0,0,0,0,0,4,0,15,18,0,7,45,7,0,16
OTU_144,7,4,6,2,0,0,0,0,1,12,23,0,16,0,0,4,0,7,0,30
OTU_145,5,1,2,5,0,1,2,14,0,0,13,12,12,22,10,0,9,1,0,0
OTU_146,8,0,1,17,0,0,0,16,0,1,0,0,18,0,0,10,6,15,0,16
OTU_147,0,18,0,0,0,0,45,2,7,1,8,0,11,10,0,6,0,0,0,0
OTU_148,2,2,13,9,3,18,12,22,3,5,0,0,0,0,11,0,0,5,0,0
OTU_149,0,0,0,0,0,0,0,0,0,0,2,0,20,48,24,7,0,4,0,0
OTU_150,0,0,0,0,3,0,8,0,0,0,8,26,7,24,4,13,7,0,0,5
OTU_151,0,1,0,2,25,8,0,0,0,8,17,0,8,9,20,0,0,6,0,0
OTU_152,0,4,8,20,13,0,27,14,0,1,0,0,16,0,0,0,0,0,0,0
OTU_153,0,0,0,0,0,0,0,0,0,0,10,0,0,14,6,22,11,7,13,20
OTU_154,0,0,2,3,0,0,0,0,0,1,3,22,15,3,0,28,9,0,9,6
OTU_155,4,0,0,1,14,1,6,0,0,0,0,0,17,0,13,36,5,4,0,0
OTU_156,0,0,0,0,6,1,0,0,4,3,0,0,0,17,0,7,25,3,18,17
OTU_157,0,9,0,18,5,0,0,12,10,4,10,0,6,1,0,0,0,14,11,0
OTU_158,1,10,9,29,6,5,3,13,18,6,0,0,0,0,0,0,0,0,0,0
OTU_159,0,25,0,0,0,0,0,0,11,0,10,0,0,4,0,26,8,15,0,0
OTU_160,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,54,0,0,0,0
OTU_161,3,0,11,0,0,0,0,0,6,5,5,0,0,12,0,21,32,3,0,0
OTU_162,0,0,0,0,0,0,0,0,0,0,2,0,20,26,9,14,16,5,6,0
OTU_163,0,0,0,0,0,0,0,0,0,0,10,0,23,8,24,8,9,12,3,0
OTU_164,0,0,0,0,0,0,0,0,0,0,10,0,3,21,13,1,0,7,10,31
OTU_165,2,0,0,0,15,1,0,26,52,0,0,0,0,0,0,0,0,0,0,0
OTU_166,0,0,0,0,0,0,0,0,0,0,6,0,22,0,14,27,19,0,4,4
OTU_167,0,0,0,8,1,9,0,0,0,0,0,0,17,10,0,15,0,14,7,14
OTU_168,1,0,0,9,0,0,0,0,0,0,7,0,9,9,10,19,7,0,8,15
OTU_169,0,0,2,0,0,0,6,5,0,3,10,0,0,20,0,31,0,10,7,0
OTU_170,0,0,0,0,0,0,0,0,0,0,25,0,33,9,9,1,0,11,0,4
OTU_171,0,0,0,0,0,0,0,0,0,0,0,0,16,0,12,23,14,6,21,0
OTU_172,0,0,0,0,0,0,0,0,0,0,7,0,31,10,7,33,0,0,3,0
OTU_173,0,0,0,1,18,3,9,0,5,11,0,0,0,26,0,0,9,0,8,0
OTU_174,0,0,0,0,5,0,0,20,0,0,20,0,14,24,0,0,1,3,3,0
OTU_175,1,0,0,0,22,0,0,0,0,0,22,0,2,0,19,8,0,0,0,15
OTU_176,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_177,0,0,0,0,0,0,0,0,0,0,11,0,10,9,0,24,15,4,0,15
OTU_178,0,0,0,2,13,8,18,7,5,5,2,0,0,0,0,20,3,4,0,0
OTU_179,0,4,0,0,0,0,0,0,0,0,0,0,0,13,48,22,0,0,0,0
OTU_180,4,1,0,1,0,0,0,0,2,3,0,0,28,19,0,18,0,6,0,4
OTU_181,0,9,1,44,0,10,6,5,0,6,0,0,0,0,0,0,0,0,0,0
OTU_182,2,17,1,17,2,0,0,0,0,3,4,0,6,3,8,8,0,9,0,0
OTU_183,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,16,14,7,3,10
OTU_184,4,0,0,4,0,2,59,0,2,0,2,0,0,1,0,1,4,0,0,0
OTU_185,0,12,2,28,6,17,0,3,0,8,0,0,0,0,0,0,0,0,0,0
OTU_186,0,0,0,0,0,0,0,0,0,0,5,0,0,7,10,22,18,10,3,0
OTU_187,20,2,0,6,1,0,17,0,5,23,0,0,0,0,0,0,0,0,0,0
OTU_188,0,0,0,0,0,0,0,0,0,0,0,0,0,27,12,15,0,0,0,20
OTU_189,0,0,12,27,3,1,18,6,4,3,0,0,0,0,0,0,0,0,0,0
OTU_190,0,0,0,0,0,0,0,0,0,0,0,0,0,22,15,21,0,9,0,6
OTU_191,12,16,1,9,0,4,8,0,0,0,0,0,8,0,3,4,0,0,8,0
OTU_192,0,0,0,0,0,0,0,0,0,0,8,0,0,42,0,5,6,11,0,0
OTU_193,2,10,4,8,4,1,14,15,9,3,0,0,0,0,0,0,0,0,0,0
OTU_194,0,0,0,0,0,0,0,0,0,0,19,0,8,0,9,7,8,5,10,4
OTU_195,3,26,0,16,2,1,0,1,3,17,0,0,0,0,0,0,0,0,0,0
OTU_196,2,8,2,0,29,1,17,10,0,0,0,0,0,0,0,0,0,0,0,0
OTU_197,5,0,36,4,0,0,0,0,5,0,0,0,7,0,12,0,0,0,0,0
OTU_198,0,0,0,0,0,0,0,0,0,0,9,0,20,0,0,3,25,3,8,0
OTU_199,9,2,0,0,0,0,0,9,0,6,6,0,17,0,13,3,0,1,0,0
OTU_200,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,0,0,45,0
OTU_201,0,0,0,17,0,0,30,0,0,3,0,0,0,2,13,0,1,0,0,0
OTU_202,6,2,0,2,2,0,7,0,18,1,17,0,0,0,0,0,4,0,6,0
OTU_203,10,12,4,0,7,4,9,8,4,7,0,0,0,0,0,0,0,0,0,0
OTU_204,0,0,0,0,0,0,0,0,0,0,6,0,38,13,5,0,0,2,0,0
OTU_205,0,3,8,10,0,5,9,5,8,15,0,0,0,0,0,0,0,0,0,0
OTU_206,5,0,0,1,0,0,20,0,0,0,0,0,0,0,9,0,21,0,0,7
OTU_207,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,21
OTU_208,2,2,13,9,0,4,15,1,14,1,0,0,0,0,0,0,0,0,0,0
OTU_209,0,17,1,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,26,5
OTU_210,0,0,0,0,0,0,0,0,0,0,17,0,22,8,0,0,5,0,0,8
OTU_211,0,3,0,5,7,0,0,0,1,1,11,0,0,24,0,0,0,0,5,3
OTU_212,17,0,0,0,0,0,13,11,5,13,0,0,0,0,0,0,0,0,0,0
OTU_213,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,8,31,2,8,0
OTU_214,1,2,10,11,1,8,0,11,6,9,0,0,0,0,0,0,0,0,0,0
OTU_215,0,0,0,0,0,0,0,0,0,0,21,0,0,0,20,0,3,5,0,9
OTU_216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,55,0,0
OTU_217,0,6,3,0,0,0,4,0,12,2,5,0,15,0,0,9,0,1,0,0
OTU_218,0,0,0,0,0,0,0,0,0,0,1,0,7,2,0,14,3,0,13,17
OTU_219,10,0,1,7,3,0,1,0,0,3,0,0,0,8,5,0,0,2,0,16
OTU_220,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_221,31,0,0,11,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
OTU_222,0,0,0,0,0,0,2,0,0,6,0,0,7,0,0,11,0,0,17,12
OTU_223,0,0,0,0,0,0,0,0,0,0,4,0,6,13,0,9,16,0,6,0
OTU_224,0,0,0,0,0,0,0,0,0,0,0,0,21,32,0,0,0,0,0,0
OTU_225,0,6,0,27,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0
OTU_226,0,0,0,0,0,0,0,0,0,0,1,0,10,24,0,7,10,0,0,0
OTU_227,1,0,3,15,13,6,0,8,4,1,0,0,0,0,0,0,0,0,0,0
OTU_228,0,10,13,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,8,0
OTU_229,0,5,0,0,0,7,0,6,6,2,5,0,9,0,0,0,0,11,0,0
OTU_230,0,0,17,0,7,0,0,9,17,0,0,0,0,0,0,0,0,0,0,0
OTU_231,0,0,0,0,22,0,0,0,0,18,0,0,0,0,0,0,0,0,7,3
OTU_232,0,0,6,11,0,5,1,0,4,5,4,0,0,5,4,0,0,0,0,4
OTU_233,3,0,0,0,2,0,0,0,1,0,0,0,9,0,27,0,0,6,0,0
OTU_234,0,0,13,0,0,9,0,0,0,1,11,0,0,9,5,0,0,0,0,0
OTU_235,0,0,0,0,2,7,8,0,0,0,3,0,0,11,0,11,0,0,0,5
OTU_236,7,0,0,0,0,2,0,0,0,0,0,0,20,10,0,4,0,0,4,0
OTU_237,0,0,0,0,0,0,32,0,6,0,0,0,0,0,0,0,0,0,0,8
OTU_238,5,0,18,0,0,4,1,3,0,13,0,0,0,1,0,0,0,0,0,0
